Κατηγορία,Όνομα,Τιμή,Αντιπρόταση 1,Αντιπρόταση 2,Αντιπρόταση 3,Οινοποιείο,Περιοχή,Αλκοόλ,Ποικιλία,Ξηρότητα,Ορυκτότητα,Οξύτητα,Σώμα,Σχόλια
Κόκκινα,Chianti Classico | Fontodi | DOCG Chianti Classico,93,Châteauneuf du Pape | Domaine du Vieux Lazaret|AOC Châteauneuf du Pape,Imperial Reserva | CVNE Imperial | DOCa Rioja,Kotsifali | Indigenous yeast | Karavitakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Romitorio | Castello Romitorio | Toscano IGT,47,Enstikto | Silva Daskalaki Winery | PGI Crete,Kitrvs | Kitrvs Winery | PGI Pieria,Plakoura | Lyrarakis Wines | PGI Crete,,,,,,,,,
Κόκκινα,Brunello di Montalcino | IL POGGIONE | Montalcino,143,Lagotopos Single Vineyard “Mavrotragano” | Domaine Michailidis | PGI Drama,Dog Point | Dog Point Vineyards | Marlborough Valley,Barbatus | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Tignanello | Marchesi Antinori | Toscana IGT,480,Palies Rizes Vielles Vignes | Domaine La tour Melas | PGI Attica,Tartalo | Oxer Wines | DO Rioja,Antigone | Oikonomou Winery | PGI Crete,,,,,,,,,
Κόκκινα,Barbera d’ Alba Superiore | G.D.Vajra | DOC Barolo Piemonte,41,Côtes-Du-Rhône | Domaine de la Solitude| AOC Côtes du Rhône,Skalarea | Boutari Winery | PGI Heraklion,Grande Reserve Dafnes | Douloufakis Estate | PGI Crete,,,,,,,,,
Κόκκινα,Baudana Barolo | Luigi Baudana | Serralunga d’Alba,105,MOV Prephylloxera | Petrakopoulos Winery | PGI Cephalonia,Chianti Classico | Fontodi | DOCG Chianti Classico,Châteauneuf du Pape | Domaine du Vieux Lazaret|AOC Châteauneuf du Pape,,,,,,,,,
Κόκκινα,Argentiera Bolgheri | Tenuta Argentiera | Bolgeri DOC Superiore,217,Burgundy,"Artemis Cabernet Sauvignon | Stag’s Leap Wine Cellar | Napa Valley, California",Malbec Argentino | Bodega Catena Zapata | Mendoza,,,,,,,,,
Κόκκινα,Les Pierres Plates | Denis Jamain | Reuilly,35,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,Krotos | Amariotakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Burgundy,227,"Artemis Cabernet Sauvignon | Stag’s Leap Wine Cellar | Napa Valley, California",Argentiera Bolgheri | Tenuta Argentiera | Bolgeri DOC Superiore,Malbec Argentino | Bodega Catena Zapata | Mendoza,,,,,,,,,
Κόκκινα,Château Belles Graves | Lalande de Pomerol AC Bordeaux,77,Evangelo | Domaine Gerovasileiou | PGI Epanomi,To Kokkino | Domaine de Kalathas | PGI Tinos,A Cabernet Sauvignon | VIK Vineyards | Millahue Valley,,,,,,,,,
Κόκκινα,Chateau Haut Meneau | Bordeaux,38,Ocean | Idaia Winery | PGI Crete,Kotsifali | Endochora Wines | PGI Crete,Kotsifali | Zacharioudakis Estate | PGI Crete,,,,,,,,,
Κόκκινα,Mon Coeux | Domaine Jean-Louis Chave | Côtes du Rhône,45,Plakoura | Lyrarakis Wines | PGI Crete,Ramnista | Kir-Yianni Estate | PDO Naousa,Magoutes | Diamantis Papageorgiou Winery | PGI Siatista,,,,,,,,,
Κόκκινα,Côtes-Du-Rhône | Domaine de la Solitude| AOC Côtes du Rhône,41,Barbera d’ Alba Superiore | G.D.Vajra | DOC Barolo Piemonte,Skalarea | Boutari Winery | PGI Heraklion,Grande Reserve Dafnes | Douloufakis Estate | PGI Crete,,,,,,,,,
Κόκκινα,Châteauneuf du Pape | Domaine de la Solitude | AOC Châteauneuf du Pape,72,Kokkinomylos| Tselepos Winery | PGI Peloponnese,Fine Mavroudi | Anatolikos Vineyards | Thrace,A Cabernet Sauvignon | VIK Vineyards | Millahue Valley,,,,,,,,,
Κόκκινα,Châteauneuf du Pape | Domaine du Vieux Lazaret|AOC Châteauneuf du Pape,87,Imperial Reserva | CVNE Imperial | DOCa Rioja,Kotsifali | Indigenous yeast | Karavitakis Winery | PGI Crete,Liatiko | Indigenous yeast | Karavitakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Tartalo | Oxer Wines | DO Rioja,340,Palies Rizes Vielles Vignes | Domaine La tour Melas | PGI Attica,Antigone | Oikonomou Winery | PGI Crete,Malbec Argentino | Bodega Catena Zapata | Mendoza,,,,,,,,,
Κόκκινα,Imperial Reserva | CVNE Imperial | DOCa Rioja,85,Châteauneuf du Pape | Domaine du Vieux Lazaret|AOC Châteauneuf du Pape,Kotsifali | Indigenous yeast | Karavitakis Winery | PGI Crete,Liatiko | Indigenous yeast | Karavitakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Envinate Lousas “Viña de Aldea” | Ribeira Sacra,58,Limniona | Zafeirakis Estate | PGI Tyrnavos,Taos Mavrodaphne | Parparoussis Winery | PGI Peloponnese,Emphasis Syrah | Pavlidis Estate | PGI Drama,,,,,,,,,
Κόκκινα,Pinot Noir | Villa Wolf | Pfalz Germany,36,Goumenissa | Mikro Ktima Titou | PDO Goumenissa,“Single Variety” | Manousakis | Crete,Kotsifali | Endochora Wines | PGI Crete,,,,,,,,,
Κόκκινα,BIN 128 | Penfolds | Coonawarra Adelaide,160,"Ridge Lytton Springs | Ridge Vineyards | Santa Cruz, California",Lagotopos Single Vineyard “Mavrotragano” | Domaine Michailidis | PGI Drama,Brunello di Montalcino | IL POGGIONE | Montalcino,,,,,,,,,
Κόκκινα,The Red One | First Drop Winery|Adelaide Hills Barossa Valey,32,Diamantopetra | Diamandakis Winery | PGI Crete,Efivos | Gavalas Wines | PGI Crete,Cono Sur | Bicicleta Reserva | Chile,,,,,,,,,
Κόκκινα,Mother’s Milk | First Drop Winery | Adelaide Hills Barossa Valey,45,Plakoura | Lyrarakis Wines | PGI Crete,Ramnista | Kir-Yianni Estate | PDO Naousa,Magoutes | Diamantis Papageorgiou Winery | PGI Siatista,,,,,,,,,
Κόκκινα,Dog Point | Dog Point Vineyards | Marlborough Valley,132,Barbatus | Strataridakis Winery | PGI Crete,Opus ιβ 2004 | Hatzimichalis Estate | PGI Opountia Locris,Brunello di Montalcino | IL POGGIONE | Montalcino,,,,,,,,,
Κόκκινα,Cono Sur | Bicicleta Reserva | Chile,32,Diamantopetra | Diamandakis Winery | PGI Crete,Efivos | Gavalas Wines | PGI Crete,The Red One | First Drop Winery|Adelaide Hills Barossa Valey,,,,,,,,,
Κόκκινα,A Cabernet Sauvignon | VIK Vineyards | Millahue Valley,75,Château Belles Graves | Lalande de Pomerol AC Bordeaux,Evangelo | Domaine Gerovasileiou | PGI Epanomi,Châteauneuf du Pape | Domaine de la Solitude | AOC Châteauneuf du Pape,,,,,,,,,
Κόκκινα,Malbec | Bodega Catena Zapata | Mendoza,45,Plakoura | Lyrarakis Wines | PGI Crete,Ramnista | Kir-Yianni Estate | PDO Naousa,Magoutes | Diamantis Papageorgiou Winery | PGI Siatista,,,,,,,,,
Κόκκινα,Malbec Argentino | Bodega Catena Zapata | Mendoza,238,"Artemis Cabernet Sauvignon | Stag’s Leap Wine Cellar | Napa Valley, California",Burgundy,Argentiera Bolgheri | Tenuta Argentiera | Bolgeri DOC Superiore,,,,,,,,,
Κόκκινα,Lapis Luna | Lapis Luna Wines | California,44,Issorropia | Efrosini Winery | PGI Crete,Earth and Sky | Thymiopoulos Vineyards | PDO Naoussa,Idisma Drios Merlot | Wine Art Estate | PGI Drama,,,,,,,,,
Κόκκινα,"Ridge Lytton Springs | Ridge Vineyards | Santa Cruz, California",159,BIN 128 | Penfolds | Coonawarra Adelaide,Lagotopos Single Vineyard “Mavrotragano” | Domaine Michailidis | PGI Drama,Brunello di Montalcino | IL POGGIONE | Montalcino,,,,,,,,,
Κόκκινα,"Artemis Cabernet Sauvignon | Stag’s Leap Wine Cellar | Napa Valley, California",231,Burgundy,Malbec Argentino | Bodega Catena Zapata | Mendoza,Argentiera Bolgheri | Tenuta Argentiera | Bolgeri DOC Superiore,,,,,,,,,
Γλυκά,Anthemis | Samos | PDO Samos,31,Iouliatiko | Boutaris Winnery | Crete,,,,,,,,,,,
Γλυκά,Iouliatiko | Boutaris Winnery | Crete,56,Euphoria | Dourakis Winery | Crete,Anthemis | Samos | PDO Samos,Vinsanto | Estate Argyros | PDO Santorini,,,,,,,,,
Γλυκά,Euphoria | Dourakis Winery | Crete,72,Iouliatiko | Boutaris Winnery | Crete,Vinsanto | Estate Argyros | PDO Santorini,Anthemis | Samos | PDO Samos,,,,,,,,,
Γλυκά,Vinsanto | Estate Argyros | PDO Santorini,106,Ice Wine | DR.Loosen | Germany,Euphoria | Dourakis Winery | Crete,Iouliatiko | Boutaris Winnery | Crete,,,,,,,,,
Γλυκά,Ice Wine | DR.Loosen | Germany,118,Vinsanto | Estate Argyros | PDO Santorini,Euphoria | Dourakis Winery | Crete,Iouliatiko | Boutaris Winnery | Crete,,,,,,,,,
Γλυκά,Oremus | Tokaji Aszu 5 Puttonyos | Hungary,205,Ice Wine | DR.Loosen | Germany,Vinsanto | Estate Argyros | PDO Santorini,Euphoria | Dourakis Winery | Crete,,,,,,,,,
Αφρώδη,Dr. LO | Dr. Loosen 0%Alc,28,LIGHT LIVE | Schloss Wachenheim 0%Alc,LIGHT LIVE ROSE | Schloss Wachenheim 0%Alc,Louis Roederer Brut Collection | Champagne | Marne,,,,,,,,,
Αφρώδη,LIGHT LIVE | Schloss Wachenheim 0%Alc,28,Dr. LO | Dr. Loosen 0%Alc,LIGHT LIVE ROSE | Schloss Wachenheim 0%Alc,Louis Roederer Brut Collection | Champagne | Marne,,,,,,,,,
Αφρώδη,LIGHT LIVE ROSE | Schloss Wachenheim 0%Alc,28,Dr. LO | Dr. Loosen 0%Alc,LIGHT LIVE | Schloss Wachenheim 0%Alc,Louis Roederer Brut Collection | Champagne | Marne,,,,,,,,,
Λευκά,LIGHT LIVE | Schloss Wachenheim 0%Alc,28,Dafnios | Douloufakis Estate | PGI Crete,Malva de Crete | Idaia Winery | PGI Crete,Savatiano | Anastasia Fragou Winery | PGI Attika,,,,,,,,,
Κόκκινα,LIGHT LIVE | Schloss Wachenheim 0%Alc,28,“35” Blend | The Finest Artisanal | Crete,Diamantopetra | Diamandakis Winery | PGI Crete,Efivos | Gavalas Wines | PGI Crete,,,,,,,,,
Κόκκινα,“35” Syrah | The Finest Artisanal | Crete,19,“35” Moscato | The Finest Artisanal | Crete,Vinsanto | Estate Argyros | PDO Santorini,“35” Blend | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,“35” Moscato | The Finest Artisanal | Crete,19,“35” Syrah | The Finest Artisanal | Crete,Vinsanto | Estate Argyros | PDO Santorini,“35” Blend | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,“35” Blend | The Finest Artisanal | Crete,17,Vinsanto | Estate Argyros | PDO Santorini,“35” Syrah | The Finest Artisanal | Crete,“35” Moscato | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,“35” Syrah | The Finest Artisanal | Crete,34,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,Krotos | Amariotakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,“35” Moscato | The Finest Artisanal | Crete,34,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,Krotos | Amariotakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,‘’35’’ Malvasia di Candia | The Finest Artisanal | Crete,34,Alikos | Haralambakis Winery | PGI Heraklion,Kokkina Chomata | Strataridakis Winery | PGI Crete,Krotos | Amariotakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,“35” Blend | The Finest Artisanal | Crete,30,Diamantopetra | Diamandakis Winery | PGI Crete,Efivos | Gavalas Wines | PGI Crete,The Red One | First Drop Winery|Adelaide Hills Barossa Valey,,,,,,,,,
Κόκκινα,“35” Aged | The Finest Artisanal | Crete,64,Gaia Estate | PDO Nemea,Alpha Pinot Noir | Alpha Estate | PGI Florina,Avlotopi | Tselepos Winery | PGI Peloponnese,,,,,,,,,
Κόκκινα,“Single Variety” | Manousakis | Crete,36,Goumenissa | Mikro Ktima Titou | PDO Goumenissa,Pinot Noir | Villa Wolf | Pfalz Germany,Kotsifali | Endochora Wines | PGI Crete,,,,,,,,,
Αφρώδη,Louis Roederer Brut Collection | Champagne | Marne,27,Dr. LO | Dr. Loosen 0%Alc,LIGHT LIVE | Schloss Wachenheim 0%Alc,LIGHT LIVE ROSE | Schloss Wachenheim 0%Alc,,,,,,,,,
Αφρώδη,Drappier | Carte d’Or Brut | Champagne | Urville,22,Louis Roederer Brut Collection | Champagne | Marne,Dr. LO | Dr. Loosen 0%Alc,LIGHT LIVE | Schloss Wachenheim 0%Alc,,,,,,,,,
Αφρώδη,Prosecco | La Farra | DOC Treviso Italy,10,"Prosecco Rose, La Farra | DOC Treviso Italy",Aprilis Rose Brut | Theopetra Estate | PGI Meteora,DOCG Piemonte Italy,,,,,,,,,
Αφρώδη,DOCG Piemonte Italy,8,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,Prosecco | La Farra | DOC Treviso Italy,"Prosecco Rose, La Farra | DOC Treviso Italy",,,,,,,,,
Αφρώδη,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,9,Prosecco | La Farra | DOC Treviso Italy,DOCG Piemonte Italy,"Prosecco Rose, La Farra | DOC Treviso Italy",,,,,,,,,
Αφρώδη,"Prosecco Rose, La Farra | DOC Treviso Italy",10,Prosecco | La Farra | DOC Treviso Italy,Aprilis Rose Brut | Theopetra Estate | PGI Meteora,DOCG Piemonte Italy,,,,,,,,,
Λευκά,Queen | Lyrarakis Wines | PGI Crete,9,Tomi | Troupis Winery | PDO Mantinia,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,Apla White | Oenops Wines | PGI Drama,,,,,,,,,
Λευκά,Apla White | Oenops Wines | PGI Drama,10,Gustave Lorentz | Riesling | AOC Alsace,Cono Sur | Bicicleta | Chile,Queen | Lyrarakis Wines | PGI Crete,,,,,,,,,
Λευκά,Tomi | Troupis Winery | PDO Mantinia,9,Queen | Lyrarakis Wines | PGI Crete,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,Apla White | Oenops Wines | PGI Drama,,,,,,,,,
Λευκά,Thalassitis | Gaia Wines | PDO Santorini,14,Apla White | Oenops Wines | PGI Drama,Gustave Lorentz | Riesling | AOC Alsace,Cono Sur | Bicicleta | Chile,,,,,,,,,
Λευκά,Gustave Lorentz | Riesling | AOC Alsace,10,Apla White | Oenops Wines | PGI Drama,Cono Sur | Bicicleta | Chile,Queen | Lyrarakis Wines | PGI Crete,,,,,,,,,
Λευκά,Cono Sur | Bicicleta | Chile,10,Apla White | Oenops Wines | PGI Drama,Gustave Lorentz | Riesling | AOC Alsace,Queen | Lyrarakis Wines | PGI Crete,,,,,,,,,
Λευκά,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,9,Queen | Lyrarakis Wines | PGI Crete,Tomi | Troupis Winery | PDO Mantinia,Apla White | Oenops Wines | PGI Drama,,,,,,,,,
Λευκά,Dr. LO | Dr. Loosen 0%Alc,8,Queen | Lyrarakis Wines | PGI Crete,Tomi | Troupis Winery | PDO Mantinia,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,,,,,,,,,
Ροζέ,Queen Rose | Lyrarakis Wines | PGI Crete,9,"Routas | Château Routas | Provence, France","Rock Angel | Chateau d’Esclans | Provence, France",,,,,,,,,,
Ροζέ,"Routas | Château Routas | Provence, France",10,Queen Rose | Lyrarakis Wines | PGI Crete,"Rock Angel | Chateau d’Esclans | Provence, France",,,,,,,,,,
Ροζέ,"Rock Angel | Chateau d’Esclans | Provence, France",16,"Routas | Château Routas | Provence, France",Queen Rose | Lyrarakis Wines | PGI Crete,Venerata Rosa | Idaia Winery | PGI Crete,,,,,,,,,
Κόκκινα,Queen Red | Lyrarakis Wines | PGI Crete,10,Anthemis | Samos | PDO Samos,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Nemea | Aivalis Winery | PDO Nemea,12,Kokkina Chomata | Strataridakis Winery | PGI Crete,Alta Red | Thymiopoulos Vineyards | PDO Naoussa,Cono Sur | Bicicleta Reserva | Chile,,,,,,,,,
Κόκκινα,Kokkina Chomata | Strataridakis Winery | PGI Crete,12,Nemea | Aivalis Winery | PDO Nemea,Alta Red | Thymiopoulos Vineyards | PDO Naoussa,Cono Sur | Bicicleta Reserva | Chile,,,,,,,,,
Κόκκινα,Alta Red | Thymiopoulos Vineyards | PDO Naoussa,12,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,Cono Sur | Bicicleta Reserva | Chile,,,,,,,,,
Κόκκινα,Cono Sur | Bicicleta Reserva | Chile,12,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,Alta Red | Thymiopoulos Vineyards | PDO Naoussa,,,,,,,,,
Κόκκινα,Côtes-Du-Rhône | Domaine de la Solitude | AOC Côtes du Rhône,12,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,Alta Red | Thymiopoulos Vineyards | PDO Naoussa,,,,,,,,,
Κόκκινα,Mother’s Milk | First Drop Winery | Adelaide Hills Barossa Valey,14,Iouliatiko | Boutaris Winery | Crete,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Anthemis | Samos | PDO Samos,10,Queen Red | Lyrarakis Wines | PGI Crete,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Vinsanto | Estate Argyros | PDO Santorini,18,“35” Syrah | The Finest Artisanal | Crete,“35” Moscato | The Finest Artisanal | Crete,“35” Blend | The Finest Artisanal | Crete,,,,,,,,,
Κόκκινα,Iouliatiko | Boutaris Winery | Crete,14,Mother’s Milk | First Drop Winery | Adelaide Hills Barossa Valey,Nemea | Aivalis Winery | PDO Nemea,Kokkina Chomata | Strataridakis Winery | PGI Crete,,,,,,,,,
Κόκκινα,Draught 0.3L,5,Heineken /Bud,Soft Drinks,"Fix, Alcohol Free",,,,,,,,,
Κόκκινα,Corona Mexican Pale Lager,8,Schneider Weisse 0.5L,"Fix, Alcohol Free","Corona, Alcohol Free",,,,,,,,,
Κόκκινα,Heineken /Bud,6,Draught 0.3L,"Fix, Alcohol Free","Corona, Alcohol Free",,,,,,,,,
Κόκκινα,Schneider Weisse 0.5L,8,Corona Mexican Pale Lager,"Fix, Alcohol Free","Corona, Alcohol Free",,,,,,,,,
Κόκκινα,"Fix, Alcohol Free",7,"Corona, Alcohol Free",Corona Mexican Pale Lager,Heineken /Bud,,,,,,,,,
Κόκκινα,"Corona, Alcohol Free",7,"Fix, Alcohol Free",Corona Mexican Pale Lager,Heineken /Bud,,,,,,,,,
Κόκκινα,Soft Drinks,4,Draught 0.3L,Heineken /Bud,"Fix, Alcohol Free",,,,,,,,,
